order_id,customer_id,order_date,order_year,order_month,week_of_year,order_channel,payment_method,gross_amount_jd,discount_jd,net_amount_jd,points_earned,points_redeemed,points_balance_after,season_event
O202600097,C0139,2026-01-13,2026,January,3,Delivery,Wallet,2.5,0,2.5,25,0,45,Winter 2026
O202600098,C0100,2026-01-13,2026,January,3,Pickup,Card,5.49,0.16,5.33,53,0,126,Winter 2026
O202600099,C0067,2026-01-13,2026,January,3,In-store,Card,0.8,0.02,0.78,7,0,26,Winter 2026
O202600100,C0011,2026-01-13,2026,January,3,In-store,Wallet,3.95,0,3.95,39,0,39,Winter 2026
O202600101,C0040,2026-01-14,2026,January,3,Pickup,Cash,5.8,0,5.8,58,0,58,Winter 2026
O202600102,C0094,2026-01-14,2026,January,3,Pickup,Cash,0.65,0,0.65,6,0,6,Winter 2026
O202600103,C0003,2026-01-14,2026,January,3,Pickup,Cash,7.23,0,7.23,72,0,72,Winter 2026
O202600104,C0001,2026-01-15,2026,January,3,Pickup,Wallet,1.68,0.05,1.63,16,0,16,Winter 2026
O202600105,C0084,2026-01-15,2026,January,3,Pickup,Card,4.97,0,4.97,49,0,49,Winter 2026
O202600106,C0128,2026-01-15,2026,January,3,Delivery,Card,5.35,0,5.35,53,0,57,Winter 2026
O202600107,C0137,2026-01-15,2026,January,3,In-store,Card,3.3,0.1,3.2,32,0,78,Winter 2026
O202600108,C0112,2026-01-16,2026,January,3,Delivery,Cash,3.4,0,3.4,34,0,65,Winter 2026
O202600109,C0054,2026-01-16,2026,January,3,In-store,Wallet,2.75,0,2.75,27,0,27,Winter 2026
O202600110,C0048,2026-01-16,2026,January,3,Delivery,Wallet,5.49,0,5.49,54,0,234,Winter 2026
O202600111,C0004,2026-01-16,2026,January,3,Pickup,Cash,2.36,0,2.36,23,0,23,Winter 2026
O202600112,C0074,2026-01-16,2026,January,3,In-store,Card,2.1,0.06,2.04,20,0,20,Winter 2026
O202600113,C0077,2026-01-16,2026,January,3,Delivery,Card,0.35,0,0.35,3,0,3,Winter 2026
O202600114,C0050,2026-01-16,2026,January,3,Delivery,Wallet,3.34,0,3.34,33,0,33,Winter 2026
O202600115,C0113,2026-01-16,2026,January,3,In-store,Card,2.96,0,2.96,29,0,29,Winter 2026
O202600116,C0060,2026-01-17,2026,January,3,In-store,Wallet,1.68,0.05,1.63,16,0,103,Winter 2026
O202600117,C0065,2026-01-17,2026,January,3,Delivery,Cash,3.22,0,3.22,32,0,52,Winter 2026
O202600118,C0029,2026-01-17,2026,January,3,Delivery,Card,2.2,0,2.2,22,0,71,Winter 2026
O202600119,C0047,2026-01-17,2026,January,3,In-store,Wallet,0.65,0.02,0.63,6,0,15,Winter 2026
O202600120,C0141,2026-01-17,2026,January,3,In-store,Card,7.49,0,7.49,74,0,74,Winter 2026
O202600121,C0064,2026-01-17,2026,January,3,In-store,Cash,6.64,0,6.64,66,0,66,Winter 2026
O202600122,C0015,2026-01-17,2026,January,3,In-store,Cash,1.17,0,1.17,11,0,11,Winter 2026
O202600123,C0077,2026-01-17,2026,January,3,Pickup,Card,1.68,0.05,1.63,16,0,19,Winter 2026
O202600124,C0130,2026-01-17,2026,January,3,In-store,Wallet,0.49,0,0.49,4,0,28,Winter 2026
O202600125,C0023,2026-01-17,2026,January,3,In-store,Card,7.4,0,7.4,74,0,74,Winter 2026
O202600126,C0100,2026-01-17,2026,January,3,In-store,Card,3.59,0,3.59,35,0,161,Winter 2026
O202600127,C0063,2026-01-17,2026,January,3,Delivery,Card,1.7,0,1.7,17,0,17,Winter 2026
O202600128,C0075,2026-01-17,2026,January,3,Delivery,Card,13.72,0,13.72,137,0,137,Winter 2026
O202600129,C0128,2026-01-17,2026,January,3,Delivery,Cash,12.67,0,12.67,126,0,183,Winter 2026
O202600130,C0013,2026-01-17,2026,January,3,Pickup,Cash,1.8,0,1.8,18,0,18,Winter 2026
O202600131,C0070,2026-01-17,2026,January,3,Delivery,Cash,4.82,0,4.82,48,0,264,Winter 2026
O202600132,C0119,2026-01-17,2026,January,3,Delivery,Cash,15.04,0,15.04,150,0,339,Winter 2026
O202600133,C0057,2026-01-17,2026,January,3,In-store,Cash,3.69,0.11,3.58,35,0,35,Winter 2026
O202600134,C0147,2026-01-18,2026,January,4,Delivery,Card,0.9,0.03,0.87,8,0,8,Winter 2026
O202600135,C0147,2026-01-18,2026,January,4,Delivery,Card,2.6,0,2.6,26,0,34,Winter 2026
O202600136,C0107,2026-01-18,2026,January,4,Pickup,Card,2.89,0.09,2.8,28,0,28,Winter 2026
O202600137,C0125,2026-01-18,2026,January,4,Pickup,Cash,4.99,0,4.99,49,0,65,Winter 2026
O202600138,C0123,2026-01-18,2026,January,4,Delivery,Card,2.85,0,2.85,28,0,28,Winter 2026
O202600139,C0011,2026-01-18,2026,January,4,In-store,Card,1.62,0,1.62,16,0,55,Winter 2026
O202600140,C0138,2026-01-18,2026,January,4,In-store,Card,0.9,0,0.9,9,0,91,Winter 2026
O202600141,C0055,2026-01-18,2026,January,4,In-store,Card,2.26,0,2.26,22,0,22,Winter 2026
O202600142,C0142,2026-01-18,2026,January,4,Pickup,Card,1.75,0,1.75,17,0,17,Winter 2026
O202600143,C0064,2026-01-18,2026,January,4,Delivery,Cash,1,0,1,10,0,76,Winter 2026
O202600144,C0005,2026-01-18,2026,January,4,In-store,Card,1.45,0.04,1.41,14,0,14,Winter 2026
O202600145,C0138,2026-01-19,2026,January,4,In-store,Wallet,7.09,0,7.09,70,0,161,Winter 2026
O202600146,C0004,2026-01-19,2026,January,4,Pickup,Card,0.6,0,0.6,6,0,29,Winter 2026
O202600147,C0094,2026-01-19,2026,January,4,Delivery,Card,4.56,0,4.56,45,0,51,Winter 2026
O202600148,C0072,2026-01-19,2026,January,4,In-store,Card,10.03,0,10.03,100,0,100,Winter 2026
O202600149,C0035,2026-01-19,2026,January,4,Pickup,Card,8.31,0.25,8.06,80,0,80,Winter 2026
O202600150,C0067,2026-01-19,2026,January,4,Delivery,Cash,0.25,0.01,0.24,2,0,28,Winter 2026
O202600151,C0028,2026-01-19,2026,January,4,Pickup,Wallet,5.78,0.17,5.61,56,0,63,Winter 2026
O202600152,C0003,2026-01-19,2026,January,4,Pickup,Card,1.05,0,1.05,10,0,82,Winter 2026
O202600153,C0076,2026-01-20,2026,January,4,Pickup,Card,3.22,0,3.22,32,0,48,Winter 2026
O202600154,C0112,2026-01-20,2026,January,4,Delivery,Cash,1.85,0,1.85,18,0,83,Winter 2026
O202600155,C0091,2026-01-20,2026,January,4,Delivery,Cash,3.22,0,3.22,32,0,32,Winter 2026
O202600156,C0048,2026-01-20,2026,January,4,In-store,Card,12.54,0,12.54,125,0,359,Winter 2026
O202600157,C0142,2026-01-20,2026,January,4,Pickup,Cash,16.47,0,16.47,164,0,181,Winter 2026
O202600158,C0074,2026-01-20,2026,January,4,Delivery,Cash,2.98,0,2.98,29,0,49,Winter 2026
O202600159,C0140,2026-01-20,2026,January,4,Delivery,Wallet,4.01,0,4.01,40,0,73,Winter 2026
O202600160,C0016,2026-01-20,2026,January,4,In-store,Card,2.09,0,2.09,20,0,33,Winter 2026
O202600161,C0019,2026-01-20,2026,January,4,Pickup,Cash,5.1,0,5.1,51,0,66,Winter 2026
O202600162,C0018,2026-01-21,2026,January,4,Delivery,Cash,6.23,0,6.23,62,0,99,Winter 2026
O202600163,C0084,2026-01-21,2026,January,4,In-store,Wallet,19.47,0,19.47,194,0,243,Winter 2026
O202600164,C0085,2026-01-21,2026,January,4,In-store,Card,2.25,0,2.25,22,0,86,Winter 2026
O202600165,C0148,2026-01-21,2026,January,4,In-store,Card,3.4,0,3.4,34,0,67,Winter 2026
O202600166,C0033,2026-01-21,2026,January,4,In-store,Cash,6.55,0,6.55,65,0,135,Winter 2026
O202600167,C0021,2026-01-21,2026,January,4,In-store,Cash,3.25,0,3.25,32,0,42,Winter 2026
O202600168,C0112,2026-01-21,2026,January,4,In-store,Card,5.8,0,5.8,58,0,141,Winter 2026
O202600169,C0054,2026-01-21,2026,January,4,In-store,Cash,2.58,0,2.58,25,0,52,Winter 2026
O202600170,C0116,2026-01-21,2026,January,4,Pickup,Cash,2.06,0,2.06,20,0,66,Winter 2026
O202600171,C0063,2026-01-21,2026,January,4,Pickup,Card,8.28,0,8.28,82,0,99,Winter 2026
O202600172,C0016,2026-01-21,2026,January,4,Delivery,Cash,1.17,0,1.17,11,0,44,Winter 2026
O202600173,C0086,2026-01-21,2026,January,4,Delivery,Card,3.89,0,3.89,38,0,66,Winter 2026
O202600174,C0042,2026-01-22,2026,January,4,In-store,Cash,8.17,0,8.17,81,0,81,Winter 2026
O202600175,C0076,2026-01-22,2026,January,4,Delivery,Card,1.99,0.06,1.93,19,0,67,Winter 2026
O202600176,C0060,2026-01-22,2026,January,4,Pickup,Cash,2.9,0,2.9,29,0,132,Winter 2026
O202600177,C0070,2026-01-22,2026,January,4,Pickup,Card,1.5,0.04,1.46,14,0,278,Winter 2026
O202600178,C0001,2026-01-22,2026,January,4,Delivery,Wallet,5.48,0.16,5.32,53,0,69,Winter 2026
O202600179,C0139,2026-01-23,2026,January,4,Pickup,Card,14.3,0,14.3,143,0,188,Winter 2026
O202600180,C0052,2026-01-23,2026,January,4,In-store,Cash,10.14,0,10.14,101,0,132,Winter 2026
O202600181,C0038,2026-01-23,2026,January,4,Pickup,Cash,21.67,0,21.67,216,0,283,Winter 2026
O202600182,C0051,2026-01-23,2026,January,4,Delivery,Cash,2.09,0.06,2.03,20,0,20,Winter 2026
O202600183,C0122,2026-01-23,2026,January,4,Pickup,Card,1.54,0,1.54,15,0,15,Winter 2026
O202600184,C0067,2026-01-23,2026,January,4,Pickup,Card,4.1,0,4.1,41,0,69,Winter 2026
O202600185,C0111,2026-01-23,2026,January,4,Pickup,Cash,2.5,0,2.5,25,0,25,Winter 2026
O202600186,C0057,2026-01-24,2026,January,4,In-store,Cash,14.53,0,14.53,145,0,180,Winter 2026
O202600187,C0008,2026-01-24,2026,January,4,Delivery,Card,10.09,0,10.09,100,0,100,Winter 2026
O202600188,C0131,2026-01-24,2026,January,4,In-store,Card,0.9,0,0.9,9,0,29,Winter 2026
O202600189,C0100,2026-01-24,2026,January,4,Pickup,Cash,1.99,0,1.99,19,0,180,Winter 2026
O202600190,C0062,2026-01-24,2026,January,4,Delivery,Card,1.85,0,1.85,18,0,18,Winter 2026
O202600191,C0102,2026-01-24,2026,January,4,Pickup,Card,1.95,0,1.95,19,0,39,Winter 2026
O202600192,C0029,2026-01-24,2026,January,4,In-store,Card,5.5,0,5.5,55,0,126,Winter 2026
O202600193,C0083,2026-01-24,2026,January,4,Pickup,Cash,19.68,0,19.68,196,0,196,Winter 2026
O202600194,C0046,2026-01-24,2026,January,4,In-store,Cash,0.6,0,0.6,6,0,6,Winter 2026
O202600195,C0105,2026-01-24,2026,January,4,In-store,Cash,17.62,0,17.62,176,0,176,Winter 2026
O202600196,C0022,2026-01-24,2026,January,4,Pickup,Card,3.85,0,3.85,38,0,117,Winter 2026
O202600197,C0053,2026-01-24,2026,January,4,Delivery,Card,1.68,0,1.68,16,0,57,Winter 2026
O202600198,C0147,2026-01-24,2026,January,4,Delivery,Cash,0.9,0,0.9,9,0,43,Winter 2026
O202600199,C0090,2026-01-25,2026,January,5,Delivery,Card,2.29,0,2.29,22,0,22,Winter 2026
O202600200,C0142,2026-01-25,2026,January,5,Delivery,Wallet,0.49,0,0.49,4,0,185,Winter 2026
O202600201,C0077,2026-01-25,2026,January,5,Delivery,Cash,2.35,0,2.35,23,0,42,Winter 2026
O202600202,C0080,2026-01-25,2026,January,5,Delivery,Card,1.05,0.03,1.02,10,0,103,Winter 2026
O202600203,C0141,2026-01-25,2026,January,5,In-store,Card,6.49,0,6.49,64,0,138,Winter 2026
O202600204,C0125,2026-01-25,2026,January,5,Delivery,Cash,2.09,0,2.09,20,0,85,Winter 2026
O202600205,C0075,2026-01-25,2026,January,5,Delivery,Wallet,5.4,0,5.4,54,0,191,Winter 2026
O202600206,C0124,2026-01-25,2026,January,5,In-store,Wallet,2.09,0,2.09,20,0,48,Winter 2026
O202600207,C0146,2026-01-25,2026,January,5,In-store,Cash,2.2,0,2.2,22,0,32,Winter 2026
O202600208,C0036,2026-01-25,2026,January,5,Pickup,Card,0.8,0,0.8,8,0,30,Winter 2026
O202600209,C0106,2026-01-25,2026,January,5,Pickup,Card,4.39,0,4.39,43,0,105,Winter 2026
O202600210,C0108,2026-01-26,2026,January,5,Delivery,Cash,2.42,0.07,2.35,23,0,23,Winter 2026
O202600211,C0044,2026-01-26,2026,January,5,Pickup,Cash,2.39,0,2.39,23,0,23,Winter 2026
O202600212,C0010,2026-01-26,2026,January,5,Delivery,Card,3.09,0,3.09,30,0,30,Winter 2026
O202600213,C0065,2026-01-26,2026,January,5,Delivery,Cash,3.07,0,3.07,30,0,82,Winter 2026
O202600214,C0090,2026-01-26,2026,January,5,Pickup,Card,3.97,0,3.97,39,0,61,Winter 2026
O202600215,C0117,2026-01-26,2026,January,5,Delivery,Card,3.33,0,3.33,33,0,98,Winter 2026
O202600216,C0076,2026-01-26,2026,January,5,Pickup,Card,1.49,0,1.49,14,0,81,Winter 2026
O202600217,C0088,2026-01-26,2026,January,5,Delivery,Wallet,2.09,0,2.09,20,0,20,Winter 2026
O202600218,C0046,2026-01-26,2026,January,5,Delivery,Card,21.14,0,21.14,211,0,217,Winter 2026
O202600219,C0087,2026-01-27,2026,January,5,In-store,Card,1.8,0,1.8,18,0,18,Winter 2026
O202600220,C0147,2026-01-27,2026,January,5,In-store,Wallet,0.6,0,0.6,6,0,49,Winter 2026
O202600221,C0030,2026-01-27,2026,January,5,In-store,Cash,14.4,0,14.4,144,0,144,Winter 2026
O202600222,C0080,2026-01-27,2026,January,5,In-store,Cash,6.35,0,6.35,63,0,166,Winter 2026
O202600223,C0088,2026-01-27,2026,January,5,In-store,Card,3.28,0,3.28,32,0,52,Winter 2026
O202600224,C0141,2026-01-27,2026,January,5,Delivery,Cash,1.65,0,1.65,16,0,154,Winter 2026
O202600225,C0039,2026-01-27,2026,January,5,Pickup,Card,5.62,0,5.62,56,0,56,Winter 2026
O202600226,C0048,2026-01-27,2026,January,5,In-store,Cash,1.7,0,1.7,17,0,376,Winter 2026
O202600227,C0067,2026-01-27,2026,January,5,Pickup,Card,4.99,0,4.99,49,0,118,Winter 2026
O202600228,C0033,2026-01-28,2026,January,5,In-store,Cash,3.8,0,3.8,38,0,173,Winter 2026
O202600229,C0036,2026-01-28,2026,January,5,Delivery,Card,3.85,0,3.85,38,0,68,Winter 2026
O202600230,C0047,2026-01-28,2026,January,5,Delivery,Card,5.28,0.16,5.12,51,0,66,Winter 2026
O202600231,C0039,2026-01-28,2026,January,5,Pickup,Cash,2.1,0,2.1,21,0,77,Winter 2026
O202600232,C0044,2026-01-28,2026,January,5,In-store,Card,9.98,0.3,9.68,96,0,119,Winter 2026
O202600233,C0104,2026-01-28,2026,January,5,In-store,Card,3.1,0,3.1,31,0,137,Winter 2026
O202600234,C0092,2026-01-28,2026,January,5,Delivery,Card,1.61,0,1.61,16,0,16,Winter 2026
O202600235,C0035,2026-01-28,2026,January,5,In-store,Cash,9.39,0,9.39,93,0,173,Winter 2026
O202600236,C0134,2026-01-28,2026,January,5,In-store,Cash,5.25,0,5.25,52,0,52,Winter 2026
O202600237,C0048,2026-01-29,2026,January,5,Delivery,Wallet,9.58,0,9.58,95,0,471,Winter 2026
O202600238,C0059,2026-01-29,2026,January,5,In-store,Card,0.98,0,0.98,9,0,9,Winter 2026
O202600239,C0097,2026-01-29,2026,January,5,Delivery,Card,0.6,0,0.6,6,0,6,Winter 2026
O202600240,C0134,2026-01-29,2026,January,5,Pickup,Cash,1,0,1,10,0,62,Winter 2026
O202600241,C0116,2026-01-29,2026,January,5,In-store,Cash,4.18,0,4.18,41,0,107,Winter 2026
O202600242,C0002,2026-01-29,2026,January,5,Delivery,Card,0.75,0,0.75,7,0,7,Winter 2026
O202600243,C0015,2026-01-29,2026,January,5,Pickup,Wallet,2.44,0,2.44,24,0,35,Winter 2026
O202600244,C0114,2026-01-29,2026,January,5,Delivery,Cash,2.09,0.06,2.03,20,0,169,Winter 2026
O202600245,C0106,2026-01-29,2026,January,5,In-store,Cash,2.08,0,2.08,20,0,125,Winter 2026
O202600246,C0071,2026-01-29,2026,January,5,In-store,Card,3.44,0,3.44,34,0,142,Winter 2026
O202600247,C0003,2026-01-29,2026,January,5,In-store,Cash,8.35,0,8.35,83,0,165,Winter 2026
O202600248,C0065,2026-01-30,2026,January,5,In-store,Card,1.99,0,1.99,19,0,101,Winter 2026
O202600249,C0098,2026-01-30,2026,January,5,Pickup,Card,1.9,0,1.9,19,0,19,Winter 2026
O202600250,C0105,2026-01-30,2026,January,5,Delivery,Card,2.2,0,2.2,22,0,198,Winter 2026
O202600251,C0005,2026-01-30,2026,January,5,Delivery,Cash,4.97,0.15,4.82,48,0,62,Winter 2026
O202600252,C0112,2026-01-30,2026,January,5,Pickup,Wallet,1.47,0,1.47,14,0,155,Winter 2026
O202600253,C0058,2026-01-30,2026,January,5,In-store,Wallet,2.89,0,2.89,28,0,28,Winter 2026
