order_id,order_date,customer_id,basket_items,basket_categories,association_groups,total_distinct_products,total_units,net_amount_jd,season_event
O202600011,2026-01-03,C0117,"Teeba 9% Fat Labneh, 500g",labneh,Dairy,1,2,4.5,Winter 2026
O202600012,2026-01-03,C0080,"Aroma Garden Biryani Spices, 100g | Nadec Long Life Full Fat UHT Milk, 4x1L",Cooking & Baking | Long Life Milk,Spices & Seasonings | Dairy,2,2,5.44,Winter 2026
O202600013,2026-01-03,C0021,"Almarai Cream Cheese, 6 Portion, 108g",cheese,Dairy,1,1,1.02,Winter 2026
O202600014,2026-01-03,C0085,"Barakah Al Sanabel Chiffari Lisci, 450g",pasta,Pasta,1,1,0.35,Winter 2026
O202600015,2026-01-03,C0086,"Barakah Al Sanabel Chiffari Lisci, 450g",pasta,Pasta,1,3,1.05,Winter 2026
O202600016,2026-01-04,C0028,"Ozmo Milk Chocolate Egg Shapes, 20g",Chocolate,Dairy,1,1,0.75,Winter 2026
O202600017,2026-01-04,C0007,"Alyoum Fresh Jameed Liquid, 1kg",Yoghurts,Dairy,1,1,1.75,Winter 2026
O202600018,2026-01-04,C0019,"Mr.Chips Paprika Potato Chips, 68g",Chips,Spices & Seasonings,1,1,0.6,Winter 2026
O202600019,2026-01-04,C0144,"Al-Ghazal Pasta Bucatini 1, 300g",pasta,Pasta,1,1,0.49,Winter 2026
O202600020,2026-01-04,C0103,"Lay's Chili Potato Chips, 110g | Luna Red Kidney Beans, 380g",Chips | Canned Vegetables,Chips | Canned Food,2,2,1.76,Winter 2026
O202600021,2026-01-04,C0033,"Benina Garlic Chili Sauce, 280g | Kinder Happy Hippo Biscuits with Double Cream Filling, 103.5g | Tiger Rice 3.5 kg",Cooking & Baking | Chocolate | rice,Spices & Seasonings | Dairy | Rice,3,3,7.09,Winter 2026
O202600022,2026-01-04,C0017,"Mr.Chips Paprika Potato Chips, 68g",Chips,Spices & Seasonings,1,2,1.2,Winter 2026
O202600023,2026-01-04,C0065,"Aroma Garden Organic Meat Spices, 120g",Cooking & Baking,Spices & Seasonings,1,1,2.09,Winter 2026
O202600024,2026-01-04,C0130,"California Garden Whole Kernal Sweet Corn, 400g | Barakah Al Sanabel Chiffari Lisci, 450g",Canned Vegetables | pasta,Canned Vegetables | Pasta,2,3,2.45,Winter 2026
O202600025,2026-01-05,C0017,"Maxim's Mushrooms 425 g 3+1 | Teeba 9% Fat Labneh, 500g | Pasta Zara Conchiglie No.54, 500g",Canned Fruit | labneh | pasta,Canned Food | Dairy | Pasta,3,5,22.61,Winter 2026
O202600026,2026-01-05,C0060,"Lurpak Unsalted Butter, 100g",butter,Dairy,1,3,3.39,Winter 2026
O202600027,2026-01-05,C0115,"Benina Garlic Chili Sauce, 280g | Baladna Coffee with Milk Low Fat Cow Milk, 250ml",Cooking & Baking | Specialty Drinks,Spices & Seasonings | Dairy,2,4,3.89,Winter 2026
O202600028,2026-01-05,C0099,"American Garden Red Kidney Beans (Easy Open Lids), 400g | Barilla Rigatoni 500 g",Canned Vegetables | pasta,Canned Vegetables | Pasta,2,3,3.26,Winter 2026
O202600029,2026-01-05,C0012,"Alinor Organic Plant Based Almond Barista Drink, 1L",Milk Alternatives,Dairy,1,1,3.5,Winter 2026
O202600030,2026-01-05,C0049,"Aroma Garden Seven Spices, 100g | Mr.Chips Pizza Flavor Corn Chips, 58g | Al-Ghazal Pasta Bucatini 1, 300g",Cooking & Baking | Chips | pasta,Spices & Seasonings | Canned Vegetables | Pasta,3,3,2.83,Winter 2026
O202600031,2026-01-05,C0116,"Almarai Greek Style Mango Yoghurt, 150g",Yoghurts,Dairy,1,1,0.9,Winter 2026
O202600032,2026-01-05,C0104,"Benina Chili Oil, 150ml | Abu Kass Basmati Rice, 4kg | Aroma Garden Seven Spices, 100g | Red Bull Energy Drink Watermelon, 250ml",Cooking & Baking | rice | Cooking & Baking | Sports & Energy Drinks,Oil | Rice | Spices & Seasonings | Water,4,4,10.67,Winter 2026
O202600033,2026-01-06,C0036,"Almarai Labneh, 500g",labneh,Dairy,1,1,2.21,Winter 2026
O202600034,2026-01-06,C0038,"Alinor Organic Plant Based Almond Barista Drink, 1L",Milk Alternatives,Dairy,1,1,3.5,Winter 2026
O202600035,2026-01-06,C0089,"Mandi Basmati Rice 4 kg | Al Sayad Tuna In Vegetable Oil, 160g | NewLand Mayonnaise Garlic Flavor 300ml | Alinor Organic Plant Based Almond Barista Drink, 1L | Pringles Sour Cream & Onion Chips Can, 165g",rice | Canned Seafood | Cooking & Baking | Milk Alternatives | Chips,Rice | Oil | Spices & Seasonings | Eggs | Dairy,5,5,12.57,Winter 2026
O202600036,2026-01-06,C0109,Tiger Rice 3.5 kg,rice,Rice,1,3,10.95,Winter 2026
O202600037,2026-01-06,C0109,"Barakah Al Sanabel Chiffari Lisci, 450g | Bifa Keks Roll Cake with Cocoa Cream, 50g",pasta | Cakes and Rolls,Pasta | Bakery,2,3,0.82,Winter 2026
O202600038,2026-01-06,C0139,"Lurpak Unsalted Butter, 100g",butter,Dairy,1,1,1.13,Winter 2026
O202600039,2026-01-06,C0017,"Lurpak Unsalted Butter, 100g | Al-Ghazal Pasta Bucatini 1, 300g",butter | pasta,Dairy | Pasta,2,2,1.57,Winter 2026
O202600040,2026-01-06,C0133,Zwan Chicken Hotdogs Ã— 2 Special Offer,Canned Meat,Canned Food,1,1,4.5,Winter 2026
O202600041,2026-01-06,C0124,"NewLand Crushed Italian Tomatoes, 400g | Barilla Rigatoni 500 g",Canned Vegetables | pasta,Canned Food | Pasta,2,2,2.85,Winter 2026
O202600042,2026-01-06,C0138,"California Garden Whole Kernal Sweet Corn, 400g | Rio Mare Tuna In Olive Oil, 2x160g | Barilla Rigatoni 500 g",Canned Vegetables | Canned Seafood | pasta,Canned Vegetables | Canned Food | Pasta,3,3,8.23,Winter 2026
O202600043,2026-01-07,C0095,"Teeba Labneh, 180g",labneh,Dairy,1,2,1.94,Winter 2026
O202600044,2026-01-07,C0053,"Maxim's Sliced Tuna With Garlic And Black Pepper 120 g | Americana Chocolate Pound Cake, 300g",Canned Seafood | Cakes and Rolls,Canned Food | Bakery,2,2,4.19,Winter 2026
O202600045,2026-01-07,C0018,"Almarai Uht Full Fat Milk with Vitamins, 4x1L",milk,Dairy,1,1,3.77,Winter 2026
O202600046,2026-01-07,C0140,Barilla Rigatoni 500 g,pasta,Pasta,1,2,3.36,Winter 2026
O202600047,2026-01-07,C0047,"Ferrero Rocher Fine Crunchy Hazelnuts Dipped in Smooth Milk Chocolate, (3 Pieces), 37.5g",Chocolate,Dairy,1,1,0.97,Winter 2026
O202600048,2026-01-07,C0041,"Koita Organic Whole Cream Milk, 1L | Barakah Al Sanabel Chiffari Lisci, 450g",Long Life Milk | pasta,Dairy | Pasta,2,4,4.15,Winter 2026
O202600049,2026-01-07,C0148,Barilla Rigatoni 500 g,pasta,Pasta,1,2,3.36,Winter 2026
O202600050,2026-01-08,C0080,"Mr.Chips Cheese Pop Corn, 58g | Barilla Rigatoni 500 g",Chips | pasta,Canned Vegetables | Pasta,2,2,2.33,Winter 2026
O202600051,2026-01-08,C0117,"Aroma Garden Magloubeh Spices, 100g",Cooking & Baking,Spices & Seasonings,1,1,2.09,Winter 2026
O202600052,2026-01-08,C0085,"Aroma Garden Biryani Spices, 100g",Cooking & Baking,Spices & Seasonings,1,2,4.18,Winter 2026
O202600053,2026-01-08,C0067,Spice Classics Basil Leaves 6.25 g,Cooking & Baking,Spices & Seasonings,1,1,1.99,Winter 2026
O202600054,2026-01-08,C0085,"Aroma Garden Magloubeh Spices, 100g",Cooking & Baking,Spices & Seasonings,1,1,2.09,Winter 2026
O202600055,2026-01-08,C0080,"Albayrouty Mushroom Slices 400 g | Barakah Al Sanabel Chiffari Lisci, 450g | Molto XL Croissant Chocolate With Hazelnut, 42.5g",Canned Vegetables | pasta | Cakes and Rolls,Canned Vegetables | Pasta | Bakery,3,3,1.65,Winter 2026
O202600056,2026-01-08,C0133,"Aroma Garden Chicken Spices, 100g | Nadec Full Fat Fresh Milk, 6x125ml",Cooking & Baking | Long Life Milk,Spices & Seasonings | Eggs,2,3,4.35,Winter 2026
O202600057,2026-01-09,C0032,"Alpro Plant-Based Barista Soya Drink, 1L",Milk Alternatives,Dairy,1,1,2.8,Winter 2026
O202600058,2026-01-09,C0038,"Lurpak Unsalted Butter, 100g",butter,Dairy,1,1,1.13,Winter 2026
O202600059,2026-01-09,C0086,"L'usine Soft Cupcakes Filled with Strawberry Cream, 18x30g",Cakes and Rolls,Dairy,1,1,1.8,Winter 2026
O202600060,2026-01-10,C0060,"Durra Lemon Seasoning, 1000ml | Pringles Sour Cream & Onion Chips Can, 165g",Cooking & Baking | Chips,Spices & Seasonings | Dairy,2,3,5.4,Winter 2026
O202600061,2026-01-10,C0119,"Rio Mare Tuna In Olive Oil, 2x160g | Maxims Sweet Corn, 340g | Tiger Rice 3.5 kg | Aroma Garden Biryani Spices, 100g",Canned Seafood | Canned Vegetables | rice | Cooking & Baking,Oil | Canned Food | Rice | Spices & Seasonings,4,5,16.39,Winter 2026
O202600062,2026-01-10,C0121,"Aroma Garden Chicken Spices, 100g | Cool Gear Water Bottle - Pink, 650ml",Cooking & Baking | back to school,Spices & Seasonings | Water,2,3,9.59,Winter 2026
O202600063,2026-01-10,C0139,"Mr.Chips Bugles Cheese Flavor Corn Snacks, 33g | Barakah Al Sanabel Chiffari Lisci, 450g",Chips | pasta,Canned Vegetables | Pasta,2,3,0.95,Winter 2026
O202600064,2026-01-10,C0121,"Aroma Garden Seven Spices, 100g | Barilla Rigatoni 500 g | Eti Adicto Gold Mini Chocolate Brown Cake, 180g",Cooking & Baking | pasta | Cakes and Rolls,Spices & Seasonings | Pasta | Chocolate,3,3,5.31,Winter 2026
O202600065,2026-01-10,C0052,"Koita Organic Whole Cream Milk, 1L",Long Life Milk,Dairy,1,1,3.1,Winter 2026
O202600066,2026-01-10,C0128,"Al-Ghazal Pasta Bucatini 1, 300g",pasta,Pasta,1,1,0.49,Winter 2026
O202600067,2026-01-10,C0071,"Barilla Rigatoni 500 g | Golden Corn Oil, 2.9L | Mr.Chips Paprika Potato Chips, 68g | Mr.Chips Chilli Potato Chips, 68g | KDD Strawberry Flavored Milk, 6x250ml",pasta | oil | Chips | Chips | Long Life Milk,Pasta | Canned Vegetables | Spices & Seasonings | Chips | Dairy,5,5,10.82,Winter 2026
O202600068,2026-01-10,C0009,"Nestle Kitkat Hazelnut 4 Fingers Chocolate, 41.5g | Koita Lactose Free Skim Milk, 1L",Chocolate | Long Life Milk,Chocolate | Dairy,2,3,7,Winter 2026
O202600069,2026-01-10,C0133,"Nadec Full Fat Fresh Milk, 6x125ml",Long Life Milk,Dairy,1,1,1.13,Winter 2026
O202600070,2026-01-10,C0119,"Teeba Yoghurt, 700g | Barilla Rigatoni 500 g",youghurt | pasta,Dairy | Pasta,2,2,2.68,Winter 2026
O202600071,2026-01-11,C0145,"Aroma Garden Magloubeh Spices, 100g",Cooking & Baking,Spices & Seasonings,1,1,2.09,Winter 2026
O202600072,2026-01-11,C0096,"Galaxy Jewels Assorted Chocolate Box, 650g | Koita Organic Almond Milk, 1L | Tiger Rice 3.5 kg",Chocolate | Milk Alternatives | rice,Chocolate | Dairy | Rice,3,3,24.65,Winter 2026
O202600073,2026-01-11,C0132,"Almarai Uht Full Fat Milk with Vitamins, 4x1L",milk,Dairy,1,1,3.77,Winter 2026
O202600074,2026-01-11,C0069,"Kasih Corn Starch Pouches, 350g | Barakah Al Sanabel Chiffari Lisci, 450g",Cooking & Baking | pasta,Canned Vegetables | Pasta,2,2,1.54,Winter 2026
O202600075,2026-01-11,C0112,"Nadec Banana Flavor Milk, 6x125ml",Long Life Milk,Dairy,1,1,1.35,Winter 2026
O202600076,2026-01-11,C0146,"Hammoudeh Fresh Yoghurt, 700g",youghurt,Dairy,1,1,1,Winter 2026
O202600077,2026-01-11,C0007,"Spuds Sour Cream & Onion Craft Cooked Chips, 65g",Chips,Dairy,1,1,0.75,Winter 2026
O202600078,2026-01-11,C0073,"Spuds Sweet & Chilli Salsa Craft Cooked Chips, 65g | Almarai Full Fat Fresh Yoghurt, 700g",Chips | youghurt,Chips | Dairy,2,3,2.67,Winter 2026
O202600079,2026-01-11,C0135,NewLand Mayonnaise Garlic Flavor 300ml,Cooking & Baking,Spices & Seasonings,1,1,1.61,Winter 2026
O202600080,2026-01-11,C0009,"Lay's Salt & Vinegar Chips, 110g | Pomi Whole Peeled Tomatoes, 400g",Chips | Canned Fruit,Chips | Canned Food,2,2,2.75,Winter 2026
O202600081,2026-01-11,C0100,"Ferrero Rocher Fine Crunchy Hazelnuts Dipped in Smooth Milk Chocolate, (3 Pieces), 37.5g | Almarai Cooking Cream, 500ml",Chocolate | cream,Chocolate | Dairy,2,4,7.3,Winter 2026
O202600082,2026-01-11,C0116,"Almarai Uht Full Fat Milk with Vitamins, 4x1L",milk,Dairy,1,1,3.77,Winter 2026
O202600083,2026-01-11,C0112,"Durra Lemon Seasoning, 1000ml",Cooking & Baking,Spices & Seasonings,1,1,1.85,Winter 2026
O202600084,2026-01-11,C0020,"L'usine Cupcakes Filled with Chocolate Cream, 18x30g | Tiger Rice 3.5 kg",Cakes and Rolls | rice,Dairy | Rice,2,2,5.45,Winter 2026
O202600085,2026-01-12,C0048,"Storck Toffifee Hazelnut In Caramel Candy, 125g | Almarai Full Fat Fresh Yoghurt, 700g | Mandi Basmati Rice 4 kg",Chocolate | youghurt | rice,Chocolate | Dairy | Rice,3,5,18.06,Winter 2026
O202600086,2026-01-12,C0131,"L'usine Soft Cupcakes Filled with Strawberry Cream, 18x30g | Molto XL Croissant Chocolate With Hazelnut, 42.5g",Cakes and Rolls | Cakes and Rolls,Dairy | Bakery,2,2,2.05,Winter 2026
O202600087,2026-01-12,C0133,"Maxim's Smoked Tuna Oil 185 g | Almarai Uht Full Fat Milk with Vitamins, 4x1L | Mandi Basmati Rice 4 kg",Canned Seafood | milk | rice,Oil | Dairy | Rice,3,3,11.39,Winter 2026
O202600088,2026-01-12,C0106,"Aroma Garden Magloubeh Spices, 100g",Cooking & Baking,Spices & Seasonings,1,3,6.27,Winter 2026
O202600089,2026-01-12,C0102,"Aroma Garden Organic Meat Spices, 120g",Cooking & Baking,Spices & Seasonings,1,1,2.09,Winter 2026
O202600090,2026-01-12,C0137,"KDD Milk Coffee Latte, 250ml | Pasta Zara Conchiglie No.54, 500g",Specialty Drinks | pasta,Dairy | Pasta,2,4,4.63,Winter 2026
O202600091,2026-01-12,C0125,"Mr.Chips Chilli Potato Chips, 68g | Almarai Full Fat Fresh Yoghurt, 700g",Chips | youghurt,Chips | Dairy,2,2,1.6,Winter 2026
O202600092,2026-01-12,C0006,"Sayad Tuna Meat With Natural Chili 160 g | Barakah Al Sanabel Chiffari Lisci, 450g",Canned Seafood | pasta,Canned Food | Pasta,2,4,1.84,Winter 2026
O202600093,2026-01-13,C0089,"Mr.Chips Cheese Pop Corn, 58g | Koita Organic Chocolate Milk Uht 200 ml | Al-Ghazal Pasta Bucatini 1, 300g",Chips | Long Life Milk | pasta,Canned Vegetables | Dairy | Pasta,3,4,3.44,Winter 2026
O202600094,2026-01-13,C0016,"California Garden Whole Kernal Sweet Corn, 400g | Barakah Al Sanabel Chiffari Lisci, 450g",Canned Vegetables | pasta,Canned Vegetables | Pasta,2,2,1.36,Winter 2026
O202600095,2026-01-13,C0070,"Pasta Zara Conchiglie No.54, 500g",pasta,Pasta,1,1,1.31,Winter 2026
O202600096,2026-01-13,C0029,Mandi Basmati Rice 4 kg,rice,Rice,1,1,4.97,Winter 2026
O202600097,2026-01-13,C0139,"Orasi Soy Milk Sugar Free, 1L",Milk Alternatives,Dairy,1,1,2.5,Winter 2026
O202600098,2026-01-13,C0100,"Abu Kass Basmati Rice, 4kg",rice,Rice,1,1,5.33,Winter 2026
O202600099,2026-01-13,C0067,"AlSafi Mixed Berries Greek Yoghurt, 150g",Yoghurts,Dairy,1,1,0.78,Winter 2026
O202600100,2026-01-13,C0011,"Aroma Garden Biryani Spices, 100g | Pasta Zara Conchiglie No.54, 500g | Alyoum Burger Buns with Sesame Seeds, 6 Pieces",Cooking & Baking | pasta | Burger Buns,Spices & Seasonings | Pasta | Bakery,3,3,3.95,Winter 2026
O202600101,2026-01-14,C0040,"Koita Low Fat Lactose Free Non Harmone Milk, 1L",Long Life Milk,Dairy,1,2,5.8,Winter 2026
O202600102,2026-01-14,C0094,"Bounty Coconut Milk Chocolate Bar, 50g",Chocolate,Dairy,1,1,0.65,Winter 2026
O202600103,2026-01-14,C0003,"Benina Chili Oil, 150ml | Tiger Rice 3.5 kg | Aroma Garden Chicken Spices, 100g",Cooking & Baking | rice | Cooking & Baking,Oil | Rice | Spices & Seasonings,3,3,7.23,Winter 2026
O202600104,2026-01-15,C0001,"Kasih Corn Starch Pouches, 350g | Al-Ghazal Pasta Bucatini 1, 300g",Cooking & Baking | pasta,Canned Vegetables | Pasta,2,2,1.63,Winter 2026
O202600105,2026-01-15,C0084,Mandi Basmati Rice 4 kg,rice,Rice,1,1,4.97,Winter 2026
O202600106,2026-01-15,C0128,"Sayad Tuna Meat With Natural Chili 160 g | Alpro Plant-Based Barista Soya Drink, 1L",Canned Seafood | Milk Alternatives,Canned Food | Dairy,2,4,5.35,Winter 2026
O202600107,2026-01-15,C0137,"Al Mazraa Jameed Pasteurized Liquid, 1L | Alyoum Burger Buns, 6 Pieces",Yoghurts | Burger Buns,Dairy | Bakery,2,2,3.2,Winter 2026
O202600108,2026-01-16,C0112,"Koita Low Fat Lactose Free Non Harmone Milk, 1L | Bifa Keks Cocoa Oval Banana Sauce Cake, 45g",Long Life Milk | Cakes and Rolls,Dairy | Bakery,2,3,3.4,Winter 2026
O202600109,2026-01-16,C0054,"Al Mazraa Jameed Pasteurized Liquid, 1L",Yoghurts,Dairy,1,1,2.75,Winter 2026
O202600110,2026-01-16,C0048,"Abu Kass Basmati Rice, 4kg",rice,Rice,1,1,5.49,Winter 2026
O202600111,2026-01-16,C0004,"Albayrouty Mushroom Slices 400 g | Pasta Zara Conchiglie No.54, 500g",Canned Vegetables | pasta,Canned Vegetables | Pasta,2,2,2.36,Winter 2026
O202600112,2026-01-16,C0074,"American Garden Red Kidney Beans (Easy Open Lids), 400g | Pasta Zara Conchiglie No.54, 500g",Canned Vegetables | pasta,Canned Vegetables | Pasta,2,2,2.04,Winter 2026
O202600113,2026-01-16,C0077,"Barakah Al Sanabel Chiffari Lisci, 450g",pasta,Pasta,1,1,0.35,Winter 2026
O202600114,2026-01-16,C0050,"Kasih Corn Starch Pouches, 350g | Barakah Al Sanabel Chiffari Lisci, 450g | L'usine Soft Cupcakes Filled with Strawberry Cream, 18x30g",Cooking & Baking | pasta | Cakes and Rolls,Canned Vegetables | Pasta | Bakery,3,3,3.34,Winter 2026
O202600115,2026-01-16,C0113,"Ard Jdadna Powder Garlic, 200g | Luna Red Kidney Beans, 380g",Cooking & Baking | Canned Vegetables,Spices & Seasonings | Canned Food,2,2,2.96,Winter 2026
O202600116,2026-01-17,C0060,Barilla Rigatoni 500 g,pasta,Pasta,1,1,1.63,Winter 2026
O202600117,2026-01-17,C0065,NewLand Mayonnaise Garlic Flavor 300ml,Cooking & Baking,Spices & Seasonings,1,2,3.22,Winter 2026
O202600118,2026-01-17,C0029,"Ard Jdadna Powder Garlic, 200g",Cooking & Baking,Spices & Seasonings,1,1,2.2,Winter 2026
O202600119,2026-01-17,C0047,"Bounty Coconut Milk Chocolate Bar, 50g",Chocolate,Dairy,1,1,0.63,Winter 2026
O202600120,2026-01-17,C0141,"Alinor Organic Plant Based Almond Barista Drink, 1L | Al-Ghazal Pasta Bucatini 1, 300g",Milk Alternatives | pasta,Eggs | Pasta,2,3,7.49,Winter 2026
O202600121,2026-01-17,C0064,"Golden Corn Oil, 2.9L | Mr.Chips Paprika Potato Chips, 68g | Barakah Al Sanabel Chiffari Lisci, 450g",oil | Chips | pasta,Canned Vegetables | Chips | Pasta,3,3,6.64,Winter 2026
O202600122,2026-01-17,C0015,"Durra Hummus Grains 400 g | Al-Ghazal Pasta Bucatini 1, 300g",Canned Vegetables | pasta,Canned Vegetables | Pasta,2,2,1.17,Winter 2026
O202600123,2026-01-17,C0077,Barilla Rigatoni 500 g,pasta,Pasta,1,1,1.63,Winter 2026
O202600124,2026-01-17,C0130,"Al-Ghazal Pasta Bucatini 1, 300g",pasta,Pasta,1,1,0.49,Winter 2026
O202600125,2026-01-17,C0023,"AL Safi Greek Yogurt Lemon Pie, 150g | Nestle Mineral Water, 6x1.5L",Yoghurts | water,Dairy | Water,2,4,7.4,Winter 2026
O202600126,2026-01-17,C0100,"Aroma Garden Magloubeh Spices, 100g | Al Youm 3% Milk Full Fat 1 L",Cooking & Baking | milk,Spices & Seasonings | Dairy,2,2,3.59,Winter 2026
O202600127,2026-01-17,C0063,"Pringles Sour Cream & Onion Chips Can, 165g",Chips,Dairy,1,1,1.7,Winter 2026
O202600128,2026-01-17,C0075,"Al Youm Labneh, 200g | Rio Mare Tuna In Olive Oil, 2x160g | Almarai Uht Full Fat Milk with Vitamins, 4x1L | Barakah Al Sanabel Chiffari Lisci, 450g",labneh | Canned Seafood | milk | pasta,Eggs | Canned Food | Dairy | Pasta,4,7,13.72,Winter 2026
O202600129,2026-01-17,C0128,"Maxim's Sliced Tuna With Garlic And Black Pepper 120 g | Koita Low Fat Lactose Free Non Harmone Milk, 1L",Canned Seafood | Long Life Milk,Spices & Seasonings | Eggs,2,5,12.67,Winter 2026
O202600130,2026-01-17,C0013,"L'usine Soft Cupcakes Filled with Strawberry Cream, 18x30g",Cakes and Rolls,Dairy,1,1,1.8,Winter 2026
O202600131,2026-01-17,C0070,Maxims Sweet Corn 180 g 3 pcs get 1 pc Free | Baladna Full Cream Milk 1 L,Canned Fruit | milk,Canned Food | Dairy,2,2,4.82,Winter 2026
O202600132,2026-01-17,C0119,"Exeter Canned Corned Beef, 340g | Lurpak Unsalted Butter, 6x50g",Canned Meat | butter,Canned Food | Eggs,2,4,15.04,Winter 2026
O202600133,2026-01-17,C0057,"Aroma Garden Organic Meat Spices, 120g | Nadec Banana Flavor Milk, 6x125ml | Bifa Keks Roll Black and White Cake, 50g",Cooking & Baking | Long Life Milk | Cakes and Rolls,Spices & Seasonings | Dairy | Bakery,3,3,3.58,Winter 2026
O202600134,2026-01-18,C0147,"Almarai Greek Style Full Fat Blueberry Yoghurt, 150g",Yoghurts,Dairy,1,1,0.87,Winter 2026
O202600135,2026-01-18,C0147,NewLand Mayonnaise Garlic Flavor 300ml | Crystal Ice Cubes 2 kg,Cooking & Baking | water,Spices & Seasonings | Water,2,2,2.6,Winter 2026
O202600136,2026-01-18,C0107,Blue Mill Garlic Powder 200 g,Cooking & Baking,Spices & Seasonings,1,1,2.8,Winter 2026
O202600137,2026-01-18,C0125,"Sunwhite Calrose Rice, 4kg",rice,Rice,1,1,4.99,Winter 2026
O202600138,2026-01-18,C0123,"Spuds Tomato Bruschetta Craft Cooked Chips, 65g | Kinder Chocolate Milk Chocolate Bars With Milky Filling (4 Bars), 50g",Chips | Chocolate,Chips | Dairy,2,4,2.85,Winter 2026
O202600139,2026-01-18,C0011,"Almarai Strawberry Banana Fat Free Protein Milk No Added Sugar, 400ml",Sports & Energy Drinks,Dairy,1,1,1.62,Winter 2026
O202600140,2026-01-18,C0138,"Almarai Greek Style Mango Yoghurt, 150g",Yoghurts,Dairy,1,1,0.9,Winter 2026
O202600141,2026-01-18,C0055,"American Garden Red Kidney Beans (Easy Open Lids), 400g | Al-Ghazal Pasta Bucatini 1, 300g",Canned Vegetables | pasta,Canned Vegetables | Pasta,2,4,2.26,Winter 2026
O202600142,2026-01-18,C0142,"Alyoum Tang Taste Yoghurt Baladi, 1kg",Yoghurts,Dairy,1,1,1.75,Winter 2026
O202600143,2026-01-18,C0064,"Teeba Yoghurt, 700g",youghurt,Dairy,1,1,1,Winter 2026
O202600144,2026-01-18,C0005,"Unium Chicken Hot Dog, 415g",Canned Meat,Canned Food,1,1,1.41,Winter 2026
O202600145,2026-01-19,C0138,"California Garden Whole Kernal Sweet Corn, 400g | Sunwhite Calrose Rice, 4kg | Barakah Al Sanabel Chiffari Lisci, 450g",Canned Vegetables | rice | pasta,Canned Vegetables | Rice | Pasta,3,5,7.09,Winter 2026
O202600146,2026-01-19,C0004,"Mr.Chips Paprika Potato Chips, 68g",Chips,Spices & Seasonings,1,1,0.6,Winter 2026
O202600147,2026-01-19,C0094,"Al Sayad Tuna In Vegetable Oil, 160g | Almarai Uht Full Fat Milk with Vitamins, 4x1L",Canned Seafood | milk,Canned Food | Dairy,2,2,4.56,Winter 2026
O202600148,2026-01-19,C0072,"Golden Corn Oil, 2.9L | Al Safi UHT Full Fat Milk, 4x1L | Al-Ghazal Pasta Bucatini 1, 300g",oil | Long Life Milk | pasta,Canned Vegetables | Dairy | Pasta,3,3,10.03,Winter 2026
O202600149,2026-01-19,C0035,"Maxim's Smoked Tuna Oil 185 g | Milka Choco Wafer, (5 Pieces), 150g",Canned Seafood | Chocolate,Canned Food | Dairy,2,3,8.06,Winter 2026
O202600150,2026-01-19,C0067,"Bifa Keks Roll Cake with Cocoa Cream, 50g",Cakes and Rolls,Dairy,1,1,0.24,Winter 2026
O202600151,2026-01-19,C0028,"Al Sayad Tuna In Vegetable Oil, 160g | Sunwhite Calrose Rice, 4kg",Canned Seafood | rice,Oil | Rice,2,2,5.61,Winter 2026
