order_item_id,order_id,order_date,customer_id,product_id,product_name,category,association_group,quantity,unit_price_jd,line_total_jd,season_event
I2026000018,O202600007,2026-01-03,C0019,55,"Hammoudeh Fresh Yoghurt, 700g",youghurt,Dairy,1,1,1,Winter 2026
I2026000019,O202600008,2026-01-03,C0038,175,"American Garden Red Kidney Beans (Easy Open Lids), 400g",Canned Vegetables,Canned Vegetables,1,0.79,0.79,Winter 2026
I2026000020,O202600008,2026-01-03,C0038,104,"Pasta Zara Conchiglie No.54, 500g",pasta,Pasta,1,1.31,1.31,Winter 2026
I2026000021,O202600009,2026-01-03,C0101,103,"Abu Kass Basmati Rice, 4kg",rice,Rice,1,5.49,5.49,Winter 2026
I2026000022,O202600010,2026-01-03,C0118,167,Maxim's Smoked Tuna Oil 185 g,Canned Seafood,Oil,1,3,3,Winter 2026
I2026000023,O202600010,2026-01-03,C0118,103,"Abu Kass Basmati Rice, 4kg",rice,Rice,1,5.49,5.49,Winter 2026
I2026000024,O202600010,2026-01-03,C0118,297,"Mr.Chips Paprika Potato Chips, 68g",Chips,Spices & Seasonings,2,0.6,1.2,Winter 2026
I2026000025,O202600011,2026-01-03,C0117,46,"Teeba 9% Fat Labneh, 500g",labneh,Dairy,2,2.25,4.5,Winter 2026
I2026000026,O202600012,2026-01-03,C0080,145,"Aroma Garden Biryani Spices, 100g",Cooking & Baking,Spices & Seasonings,1,2.09,2.09,Winter 2026
I2026000027,O202600012,2026-01-03,C0080,69,"Nadec Long Life Full Fat UHT Milk, 4x1L",Long Life Milk,Dairy,1,3.35,3.35,Winter 2026
I2026000028,O202600013,2026-01-03,C0021,56,"Almarai Cream Cheese, 6 Portion, 108g",cheese,Dairy,1,1.02,1.02,Winter 2026
I2026000029,O202600014,2026-01-03,C0085,107,"Barakah Al Sanabel Chiffari Lisci, 450g",pasta,Pasta,1,0.35,0.35,Winter 2026
I2026000030,O202600015,2026-01-03,C0086,107,"Barakah Al Sanabel Chiffari Lisci, 450g",pasta,Pasta,3,0.35,1.05,Winter 2026
I2026000031,O202600016,2026-01-04,C0028,277,"Ozmo Milk Chocolate Egg Shapes, 20g",Chocolate,Dairy,1,0.75,0.75,Winter 2026
I2026000032,O202600017,2026-01-04,C0007,93,"Alyoum Fresh Jameed Liquid, 1kg",Yoghurts,Dairy,1,1.75,1.75,Winter 2026
I2026000033,O202600018,2026-01-04,C0019,297,"Mr.Chips Paprika Potato Chips, 68g",Chips,Spices & Seasonings,1,0.6,0.6,Winter 2026
I2026000034,O202600019,2026-01-04,C0144,105,"Al-Ghazal Pasta Bucatini 1, 300g",pasta,Pasta,1,0.49,0.49,Winter 2026
I2026000035,O202600020,2026-01-04,C0103,306,"Lay's Chili Potato Chips, 110g",Chips,Chips,1,1,1,Winter 2026
I2026000036,O202600020,2026-01-04,C0103,178,"Luna Red Kidney Beans, 380g",Canned Vegetables,Canned Food,1,0.76,0.76,Winter 2026
I2026000037,O202600021,2026-01-04,C0033,152,"Benina Garlic Chili Sauce, 280g",Cooking & Baking,Spices & Seasonings,1,1.49,1.49,Winter 2026
I2026000038,O202600021,2026-01-04,C0033,284,"Kinder Happy Hippo Biscuits with Double Cream Filling, 103.5g",Chocolate,Dairy,1,1.95,1.95,Winter 2026
I2026000039,O202600021,2026-01-04,C0033,100,Tiger Rice 3.5 kg,rice,Rice,1,3.65,3.65,Winter 2026
I2026000040,O202600022,2026-01-04,C0017,297,"Mr.Chips Paprika Potato Chips, 68g",Chips,Spices & Seasonings,2,0.6,1.2,Winter 2026
I2026000041,O202600023,2026-01-04,C0065,142,"Aroma Garden Organic Meat Spices, 120g",Cooking & Baking,Spices & Seasonings,1,2.09,2.09,Winter 2026
I2026000042,O202600024,2026-01-04,C0130,179,"California Garden Whole Kernal Sweet Corn, 400g",Canned Vegetables,Canned Vegetables,2,1.05,2.1,Winter 2026
I2026000043,O202600024,2026-01-04,C0130,107,"Barakah Al Sanabel Chiffari Lisci, 450g",pasta,Pasta,1,0.35,0.35,Winter 2026
I2026000044,O202600025,2026-01-05,C0017,195,Maxim's Mushrooms 425 g 3+1,Canned Fruit,Canned Food,3,6.35,19.05,Winter 2026
I2026000045,O202600025,2026-01-05,C0017,46,"Teeba 9% Fat Labneh, 500g",labneh,Dairy,1,2.25,2.25,Winter 2026
I2026000046,O202600025,2026-01-05,C0017,104,"Pasta Zara Conchiglie No.54, 500g",pasta,Pasta,1,1.31,1.31,Winter 2026
I2026000047,O202600026,2026-01-05,C0060,62,"Lurpak Unsalted Butter, 100g",butter,Dairy,3,1.13,3.39,Winter 2026
I2026000048,O202600027,2026-01-05,C0115,152,"Benina Garlic Chili Sauce, 280g",Cooking & Baking,Spices & Seasonings,1,1.49,1.49,Winter 2026
I2026000049,O202600027,2026-01-05,C0115,233,"Baladna Coffee with Milk Low Fat Cow Milk, 250ml",Specialty Drinks,Dairy,3,0.8,2.4,Winter 2026
I2026000050,O202600028,2026-01-05,C0099,175,"American Garden Red Kidney Beans (Easy Open Lids), 400g",Canned Vegetables,Canned Vegetables,2,0.79,1.58,Winter 2026
I2026000051,O202600028,2026-01-05,C0099,106,Barilla Rigatoni 500 g,pasta,Pasta,1,1.68,1.68,Winter 2026
I2026000052,O202600029,2026-01-05,C0012,83,"Alinor Organic Plant Based Almond Barista Drink, 1L",Milk Alternatives,Dairy,1,3.5,3.5,Winter 2026
I2026000053,O202600030,2026-01-05,C0049,143,"Aroma Garden Seven Spices, 100g",Cooking & Baking,Spices & Seasonings,1,2.09,2.09,Winter 2026
I2026000054,O202600030,2026-01-05,C0049,314,"Mr.Chips Pizza Flavor Corn Chips, 58g",Chips,Canned Vegetables,1,0.25,0.25,Winter 2026
I2026000055,O202600030,2026-01-05,C0049,105,"Al-Ghazal Pasta Bucatini 1, 300g",pasta,Pasta,1,0.49,0.49,Winter 2026
I2026000056,O202600031,2026-01-05,C0116,88,"Almarai Greek Style Mango Yoghurt, 150g",Yoghurts,Dairy,1,0.9,0.9,Winter 2026
I2026000057,O202600032,2026-01-05,C0104,154,"Benina Chili Oil, 150ml",Cooking & Baking,Oil,1,1.49,1.49,Winter 2026
I2026000058,O202600032,2026-01-05,C0104,103,"Abu Kass Basmati Rice, 4kg",rice,Rice,1,5.49,5.49,Winter 2026
I2026000059,O202600032,2026-01-05,C0104,143,"Aroma Garden Seven Spices, 100g",Cooking & Baking,Spices & Seasonings,1,2.09,2.09,Winter 2026
I2026000060,O202600032,2026-01-05,C0104,251,"Red Bull Energy Drink Watermelon, 250ml",Sports & Energy Drinks,Water,1,1.6,1.6,Winter 2026
I2026000061,O202600033,2026-01-06,C0036,44,"Almarai Labneh, 500g",labneh,Dairy,1,2.21,2.21,Winter 2026
I2026000062,O202600034,2026-01-06,C0038,83,"Alinor Organic Plant Based Almond Barista Drink, 1L",Milk Alternatives,Dairy,1,3.5,3.5,Winter 2026
I2026000063,O202600035,2026-01-06,C0089,101,Mandi Basmati Rice 4 kg,rice,Rice,1,4.97,4.97,Winter 2026
I2026000064,O202600035,2026-01-06,C0089,168,"Al Sayad Tuna In Vegetable Oil, 160g",Canned Seafood,Oil,1,0.79,0.79,Winter 2026
I2026000065,O202600035,2026-01-06,C0089,165,NewLand Mayonnaise Garlic Flavor 300ml,Cooking & Baking,Spices & Seasonings,1,1.61,1.61,Winter 2026
I2026000066,O202600035,2026-01-06,C0089,83,"Alinor Organic Plant Based Almond Barista Drink, 1L",Milk Alternatives,Eggs,1,3.5,3.5,Winter 2026
I2026000067,O202600035,2026-01-06,C0089,312,"Pringles Sour Cream & Onion Chips Can, 165g",Chips,Dairy,1,1.7,1.7,Winter 2026
I2026000068,O202600036,2026-01-06,C0109,100,Tiger Rice 3.5 kg,rice,Rice,3,3.65,10.95,Winter 2026
I2026000069,O202600037,2026-01-06,C0109,107,"Barakah Al Sanabel Chiffari Lisci, 450g",pasta,Pasta,1,0.35,0.35,Winter 2026
I2026000070,O202600037,2026-01-06,C0109,333,"Bifa Keks Roll Cake with Cocoa Cream, 50g",Cakes and Rolls,Bakery,2,0.25,0.5,Winter 2026
I2026000071,O202600038,2026-01-06,C0139,62,"Lurpak Unsalted Butter, 100g",butter,Dairy,1,1.13,1.13,Winter 2026
I2026000072,O202600039,2026-01-06,C0017,62,"Lurpak Unsalted Butter, 100g",butter,Dairy,1,1.13,1.13,Winter 2026
I2026000073,O202600039,2026-01-06,C0017,105,"Al-Ghazal Pasta Bucatini 1, 300g",pasta,Pasta,1,0.49,0.49,Winter 2026
I2026000074,O202600040,2026-01-06,C0133,192,Zwan Chicken Hotdogs Ã— 2 Special Offer,Canned Meat,Canned Food,1,4.5,4.5,Winter 2026
I2026000075,O202600041,2026-01-06,C0124,176,"NewLand Crushed Italian Tomatoes, 400g",Canned Vegetables,Canned Food,1,1.17,1.17,Winter 2026
I2026000076,O202600041,2026-01-06,C0124,106,Barilla Rigatoni 500 g,pasta,Pasta,1,1.68,1.68,Winter 2026
I2026000077,O202600042,2026-01-06,C0138,179,"California Garden Whole Kernal Sweet Corn, 400g",Canned Vegetables,Canned Vegetables,1,1.05,1.05,Winter 2026
I2026000078,O202600042,2026-01-06,C0138,171,"Rio Mare Tuna In Olive Oil, 2x160g",Canned Seafood,Canned Food,1,5.5,5.5,Winter 2026
I2026000079,O202600042,2026-01-06,C0138,106,Barilla Rigatoni 500 g,pasta,Pasta,1,1.68,1.68,Winter 2026
I2026000080,O202600043,2026-01-07,C0095,47,"Teeba Labneh, 180g",labneh,Dairy,2,1,2,Winter 2026
I2026000081,O202600044,2026-01-07,C0053,166,Maxim's Sliced Tuna With Garlic And Black Pepper 120 g,Canned Seafood,Canned Food,1,2.29,2.29,Winter 2026
I2026000082,O202600044,2026-01-07,C0053,329,"Americana Chocolate Pound Cake, 300g",Cakes and Rolls,Bakery,1,1.9,1.9,Winter 2026
I2026000083,O202600045,2026-01-07,C0018,48,"Almarai Uht Full Fat Milk with Vitamins, 4x1L",milk,Dairy,1,3.77,3.77,Winter 2026
I2026000084,O202600046,2026-01-07,C0140,106,Barilla Rigatoni 500 g,pasta,Pasta,2,1.68,3.36,Winter 2026
I2026000085,O202600047,2026-01-07,C0047,280,"Ferrero Rocher Fine Crunchy Hazelnuts Dipped in Smooth Milk Chocolate, (3 Pieces), 37.5g",Chocolate,Dairy,1,1,1,Winter 2026
I2026000086,O202600048,2026-01-07,C0041,73,"Koita Organic Whole Cream Milk, 1L",Long Life Milk,Dairy,1,3.1,3.1,Winter 2026
I2026000087,O202600048,2026-01-07,C0041,107,"Barakah Al Sanabel Chiffari Lisci, 450g",pasta,Pasta,3,0.35,1.05,Winter 2026
I2026000088,O202600049,2026-01-07,C0148,106,Barilla Rigatoni 500 g,pasta,Pasta,2,1.68,3.36,Winter 2026
I2026000089,O202600050,2026-01-08,C0080,302,"Mr.Chips Cheese Pop Corn, 58g",Chips,Canned Vegetables,1,0.65,0.65,Winter 2026
I2026000090,O202600050,2026-01-08,C0080,106,Barilla Rigatoni 500 g,pasta,Pasta,1,1.68,1.68,Winter 2026
I2026000091,O202600051,2026-01-08,C0117,144,"Aroma Garden Magloubeh Spices, 100g",Cooking & Baking,Spices & Seasonings,1,2.09,2.09,Winter 2026
I2026000092,O202600052,2026-01-08,C0085,145,"Aroma Garden Biryani Spices, 100g",Cooking & Baking,Spices & Seasonings,2,2.09,4.18,Winter 2026
I2026000093,O202600053,2026-01-08,C0067,133,Spice Classics Basil Leaves 6.25 g,Cooking & Baking,Spices & Seasonings,1,1.99,1.99,Winter 2026
I2026000094,O202600054,2026-01-08,C0085,144,"Aroma Garden Magloubeh Spices, 100g",Cooking & Baking,Spices & Seasonings,1,2.09,2.09,Winter 2026
I2026000095,O202600055,2026-01-08,C0080,180,Albayrouty Mushroom Slices 400 g,Canned Vegetables,Canned Vegetables,1,1.05,1.05,Winter 2026
I2026000096,O202600055,2026-01-08,C0080,107,"Barakah Al Sanabel Chiffari Lisci, 450g",pasta,Pasta,1,0.35,0.35,Winter 2026
I2026000097,O202600055,2026-01-08,C0080,321,"Molto XL Croissant Chocolate With Hazelnut, 42.5g",Cakes and Rolls,Bakery,1,0.25,0.25,Winter 2026
I2026000098,O202600056,2026-01-08,C0133,141,"Aroma Garden Chicken Spices, 100g",Cooking & Baking,Spices & Seasonings,1,2.09,2.09,Winter 2026
I2026000099,O202600056,2026-01-08,C0133,78,"Nadec Full Fat Fresh Milk, 6x125ml",Long Life Milk,Eggs,2,1.13,2.26,Winter 2026
I2026000100,O202600057,2026-01-09,C0032,85,"Alpro Plant-Based Barista Soya Drink, 1L",Milk Alternatives,Dairy,1,2.8,2.8,Winter 2026
I2026000101,O202600058,2026-01-09,C0038,62,"Lurpak Unsalted Butter, 100g",butter,Dairy,1,1.13,1.13,Winter 2026
I2026000102,O202600059,2026-01-09,C0086,331,"L'usine Soft Cupcakes Filled with Strawberry Cream, 18x30g",Cakes and Rolls,Dairy,1,1.8,1.8,Winter 2026
I2026000103,O202600060,2026-01-10,C0060,148,"Durra Lemon Seasoning, 1000ml",Cooking & Baking,Spices & Seasonings,2,1.85,3.7,Winter 2026
I2026000104,O202600060,2026-01-10,C0060,312,"Pringles Sour Cream & Onion Chips Can, 165g",Chips,Dairy,1,1.7,1.7,Winter 2026
I2026000105,O202600061,2026-01-10,C0119,171,"Rio Mare Tuna In Olive Oil, 2x160g",Canned Seafood,Oil,1,5.5,5.5,Winter 2026
I2026000106,O202600061,2026-01-10,C0119,174,"Maxims Sweet Corn, 340g",Canned Vegetables,Canned Food,1,1.5,1.5,Winter 2026
I2026000107,O202600061,2026-01-10,C0119,100,Tiger Rice 3.5 kg,rice,Rice,2,3.65,7.3,Winter 2026
I2026000108,O202600061,2026-01-10,C0119,145,"Aroma Garden Biryani Spices, 100g",Cooking & Baking,Spices & Seasonings,1,2.09,2.09,Winter 2026
I2026000109,O202600062,2026-01-10,C0121,141,"Aroma Garden Chicken Spices, 100g",Cooking & Baking,Spices & Seasonings,1,2.09,2.09,Winter 2026
I2026000110,O202600062,2026-01-10,C0121,341,"Cool Gear Water Bottle - Pink, 650ml",back to school,Water,2,3.75,7.5,Winter 2026
I2026000111,O202600063,2026-01-10,C0139,291,"Mr.Chips Bugles Cheese Flavor Corn Snacks, 33g",Chips,Canned Vegetables,2,0.3,0.6,Winter 2026
I2026000112,O202600063,2026-01-10,C0139,107,"Barakah Al Sanabel Chiffari Lisci, 450g",pasta,Pasta,1,0.35,0.35,Winter 2026
I2026000113,O202600064,2026-01-10,C0121,143,"Aroma Garden Seven Spices, 100g",Cooking & Baking,Spices & Seasonings,1,2.09,2.09,Winter 2026
I2026000114,O202600064,2026-01-10,C0121,106,Barilla Rigatoni 500 g,pasta,Pasta,1,1.68,1.68,Winter 2026
I2026000115,O202600064,2026-01-10,C0121,324,"Eti Adicto Gold Mini Chocolate Brown Cake, 180g",Cakes and Rolls,Chocolate,1,1.7,1.7,Winter 2026
I2026000116,O202600065,2026-01-10,C0052,73,"Koita Organic Whole Cream Milk, 1L",Long Life Milk,Dairy,1,3.1,3.1,Winter 2026
I2026000117,O202600066,2026-01-10,C0128,105,"Al-Ghazal Pasta Bucatini 1, 300g",pasta,Pasta,1,0.49,0.49,Winter 2026
I2026000118,O202600067,2026-01-10,C0071,106,Barilla Rigatoni 500 g,pasta,Pasta,1,1.68,1.68,Winter 2026
I2026000119,O202600067,2026-01-10,C0071,110,"Golden Corn Oil, 2.9L",oil,Canned Vegetables,1,5.69,5.69,Winter 2026
I2026000120,O202600067,2026-01-10,C0071,297,"Mr.Chips Paprika Potato Chips, 68g",Chips,Spices & Seasonings,1,0.6,0.6,Winter 2026
I2026000121,O202600067,2026-01-10,C0071,300,"Mr.Chips Chilli Potato Chips, 68g",Chips,Chips,1,0.6,0.6,Winter 2026
I2026000122,O202600067,2026-01-10,C0071,75,"KDD Strawberry Flavored Milk, 6x250ml",Long Life Milk,Dairy,1,2.25,2.25,Winter 2026
I2026000123,O202600068,2026-01-10,C0009,274,"Nestle Kitkat Hazelnut 4 Fingers Chocolate, 41.5g",Chocolate,Chocolate,1,0.8,0.8,Winter 2026
I2026000124,O202600068,2026-01-10,C0009,70,"Koita Lactose Free Skim Milk, 1L",Long Life Milk,Dairy,2,3.1,6.2,Winter 2026
I2026000125,O202600069,2026-01-10,C0133,78,"Nadec Full Fat Fresh Milk, 6x125ml",Long Life Milk,Dairy,1,1.13,1.13,Winter 2026
I2026000126,O202600070,2026-01-10,C0119,54,"Teeba Yoghurt, 700g",youghurt,Dairy,1,1,1,Winter 2026
I2026000127,O202600070,2026-01-10,C0119,106,Barilla Rigatoni 500 g,pasta,Pasta,1,1.68,1.68,Winter 2026
I2026000128,O202600071,2026-01-11,C0145,144,"Aroma Garden Magloubeh Spices, 100g",Cooking & Baking,Spices & Seasonings,1,2.09,2.09,Winter 2026
I2026000129,O202600072,2026-01-11,C0096,288,"Galaxy Jewels Assorted Chocolate Box, 650g",Chocolate,Chocolate,1,17.3,17.3,Winter 2026
I2026000130,O202600072,2026-01-11,C0096,81,"Koita Organic Almond Milk, 1L",Milk Alternatives,Dairy,1,3.7,3.7,Winter 2026
I2026000131,O202600072,2026-01-11,C0096,100,Tiger Rice 3.5 kg,rice,Rice,1,3.65,3.65,Winter 2026
I2026000132,O202600073,2026-01-11,C0132,48,"Almarai Uht Full Fat Milk with Vitamins, 4x1L",milk,Dairy,1,3.77,3.77,Winter 2026
I2026000133,O202600074,2026-01-11,C0069,117,"Kasih Corn Starch Pouches, 350g",Cooking & Baking,Canned Vegetables,1,1.19,1.19,Winter 2026
I2026000134,O202600074,2026-01-11,C0069,107,"Barakah Al Sanabel Chiffari Lisci, 450g",pasta,Pasta,1,0.35,0.35,Winter 2026
I2026000135,O202600075,2026-01-11,C0112,76,"Nadec Banana Flavor Milk, 6x125ml",Long Life Milk,Dairy,1,1.35,1.35,Winter 2026
I2026000136,O202600076,2026-01-11,C0146,55,"Hammoudeh Fresh Yoghurt, 700g",youghurt,Dairy,1,1,1,Winter 2026
I2026000137,O202600077,2026-01-11,C0007,317,"Spuds Sour Cream & Onion Craft Cooked Chips, 65g",Chips,Dairy,1,0.75,0.75,Winter 2026
I2026000138,O202600078,2026-01-11,C0073,319,"Spuds Sweet & Chilli Salsa Craft Cooked Chips, 65g",Chips,Chips,1,0.75,0.75,Winter 2026
I2026000139,O202600078,2026-01-11,C0073,52,"Almarai Full Fat Fresh Yoghurt, 700g",youghurt,Dairy,2,1,2,Winter 2026
I2026000140,O202600079,2026-01-11,C0135,165,NewLand Mayonnaise Garlic Flavor 300ml,Cooking & Baking,Spices & Seasonings,1,1.61,1.61,Winter 2026
I2026000141,O202600080,2026-01-11,C0009,304,"Lay's Salt & Vinegar Chips, 110g",Chips,Chips,1,1,1,Winter 2026
I2026000142,O202600080,2026-01-11,C0009,198,"Pomi Whole Peeled Tomatoes, 400g",Canned Fruit,Canned Food,1,1.75,1.75,Winter 2026
I2026000143,O202600081,2026-01-11,C0100,280,"Ferrero Rocher Fine Crunchy Hazelnuts Dipped in Smooth Milk Chocolate, (3 Pieces), 37.5g",Chocolate,Chocolate,2,1,2,Winter 2026
I2026000144,O202600081,2026-01-11,C0100,66,"Almarai Cooking Cream, 500ml",cream,Dairy,2,2.65,5.3,Winter 2026
I2026000145,O202600082,2026-01-11,C0116,48,"Almarai Uht Full Fat Milk with Vitamins, 4x1L",milk,Dairy,1,3.77,3.77,Winter 2026
I2026000146,O202600083,2026-01-11,C0112,148,"Durra Lemon Seasoning, 1000ml",Cooking & Baking,Spices & Seasonings,1,1.85,1.85,Winter 2026
I2026000147,O202600084,2026-01-11,C0020,330,"L'usine Cupcakes Filled with Chocolate Cream, 18x30g",Cakes and Rolls,Dairy,1,1.8,1.8,Winter 2026
I2026000148,O202600084,2026-01-11,C0020,100,Tiger Rice 3.5 kg,rice,Rice,1,3.65,3.65,Winter 2026
I2026000149,O202600085,2026-01-12,C0048,282,"Storck Toffifee Hazelnut In Caramel Candy, 125g",Chocolate,Chocolate,1,2.15,2.15,Winter 2026
I2026000150,O202600085,2026-01-12,C0048,52,"Almarai Full Fat Fresh Yoghurt, 700g",youghurt,Dairy,1,1,1,Winter 2026
I2026000151,O202600085,2026-01-12,C0048,101,Mandi Basmati Rice 4 kg,rice,Rice,3,4.97,14.91,Winter 2026
I2026000152,O202600086,2026-01-12,C0131,331,"L'usine Soft Cupcakes Filled with Strawberry Cream, 18x30g",Cakes and Rolls,Dairy,1,1.8,1.8,Winter 2026
I2026000153,O202600086,2026-01-12,C0131,321,"Molto XL Croissant Chocolate With Hazelnut, 42.5g",Cakes and Rolls,Bakery,1,0.25,0.25,Winter 2026
I2026000154,O202600087,2026-01-12,C0133,167,Maxim's Smoked Tuna Oil 185 g,Canned Seafood,Oil,1,3,3,Winter 2026
I2026000155,O202600087,2026-01-12,C0133,48,"Almarai Uht Full Fat Milk with Vitamins, 4x1L",milk,Dairy,1,3.77,3.77,Winter 2026
I2026000156,O202600087,2026-01-12,C0133,101,Mandi Basmati Rice 4 kg,rice,Rice,1,4.97,4.97,Winter 2026
I2026000157,O202600088,2026-01-12,C0106,144,"Aroma Garden Magloubeh Spices, 100g",Cooking & Baking,Spices & Seasonings,3,2.09,6.27,Winter 2026
I2026000158,O202600089,2026-01-12,C0102,142,"Aroma Garden Organic Meat Spices, 120g",Cooking & Baking,Spices & Seasonings,1,2.09,2.09,Winter 2026
I2026000159,O202600090,2026-01-12,C0137,232,"KDD Milk Coffee Latte, 250ml",Specialty Drinks,Dairy,1,0.7,0.7,Winter 2026
I2026000160,O202600090,2026-01-12,C0137,104,"Pasta Zara Conchiglie No.54, 500g",pasta,Pasta,3,1.31,3.93,Winter 2026
I2026000161,O202600091,2026-01-12,C0125,300,"Mr.Chips Chilli Potato Chips, 68g",Chips,Chips,1,0.6,0.6,Winter 2026
I2026000162,O202600091,2026-01-12,C0125,52,"Almarai Full Fat Fresh Yoghurt, 700g",youghurt,Dairy,1,1,1,Winter 2026
I2026000163,O202600092,2026-01-12,C0006,169,Sayad Tuna Meat With Natural Chili 160 g,Canned Seafood,Canned Food,1,0.85,0.85,Winter 2026
I2026000164,O202600092,2026-01-12,C0006,107,"Barakah Al Sanabel Chiffari Lisci, 450g",pasta,Pasta,3,0.35,1.05,Winter 2026
I2026000165,O202600093,2026-01-13,C0089,302,"Mr.Chips Cheese Pop Corn, 58g",Chips,Canned Vegetables,2,0.65,1.3,Winter 2026
I2026000166,O202600093,2026-01-13,C0089,74,Koita Organic Chocolate Milk Uht 200 ml,Long Life Milk,Dairy,1,1.65,1.65,Winter 2026
I2026000167,O202600093,2026-01-13,C0089,105,"Al-Ghazal Pasta Bucatini 1, 300g",pasta,Pasta,1,0.49,0.49,Winter 2026
I2026000168,O202600094,2026-01-13,C0016,179,"California Garden Whole Kernal Sweet Corn, 400g",Canned Vegetables,Canned Vegetables,1,1.05,1.05,Winter 2026
I2026000169,O202600094,2026-01-13,C0016,107,"Barakah Al Sanabel Chiffari Lisci, 450g",pasta,Pasta,1,0.35,0.35,Winter 2026
I2026000170,O202600095,2026-01-13,C0070,104,"Pasta Zara Conchiglie No.54, 500g",pasta,Pasta,1,1.31,1.31,Winter 2026
I2026000171,O202600096,2026-01-13,C0029,101,Mandi Basmati Rice 4 kg,rice,Rice,1,4.97,4.97,Winter 2026
I2026000172,O202600097,2026-01-13,C0139,84,"Orasi Soy Milk Sugar Free, 1L",Milk Alternatives,Dairy,1,2.5,2.5,Winter 2026
I2026000173,O202600098,2026-01-13,C0100,103,"Abu Kass Basmati Rice, 4kg",rice,Rice,1,5.49,5.49,Winter 2026
I2026000174,O202600099,2026-01-13,C0067,91,"AlSafi Mixed Berries Greek Yoghurt, 150g",Yoghurts,Dairy,1,0.8,0.8,Winter 2026
I2026000175,O202600100,2026-01-13,C0011,145,"Aroma Garden Biryani Spices, 100g",Cooking & Baking,Spices & Seasonings,1,2.09,2.09,Winter 2026
I2026000176,O202600100,2026-01-13,C0011,104,"Pasta Zara Conchiglie No.54, 500g",pasta,Pasta,1,1.31,1.31,Winter 2026
I2026000177,O202600100,2026-01-13,C0011,338,"Alyoum Burger Buns with Sesame Seeds, 6 Pieces",Burger Buns,Bakery,1,0.55,0.55,Winter 2026
I2026000178,O202600101,2026-01-14,C0040,71,"Koita Low Fat Lactose Free Non Harmone Milk, 1L",Long Life Milk,Dairy,2,2.9,5.8,Winter 2026
I2026000179,O202600102,2026-01-14,C0094,266,"Bounty Coconut Milk Chocolate Bar, 50g",Chocolate,Dairy,1,0.65,0.65,Winter 2026
I2026000180,O202600103,2026-01-14,C0003,154,"Benina Chili Oil, 150ml",Cooking & Baking,Oil,1,1.49,1.49,Winter 2026
I2026000181,O202600103,2026-01-14,C0003,100,Tiger Rice 3.5 kg,rice,Rice,1,3.65,3.65,Winter 2026
I2026000182,O202600103,2026-01-14,C0003,141,"Aroma Garden Chicken Spices, 100g",Cooking & Baking,Spices & Seasonings,1,2.09,2.09,Winter 2026
I2026000183,O202600104,2026-01-15,C0001,117,"Kasih Corn Starch Pouches, 350g",Cooking & Baking,Canned Vegetables,1,1.19,1.19,Winter 2026
